Large Distance,ID,ORIGIN,DESTINATION,DIR,DISTANCE,DATE,DAY,24-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/02/2013,Saturday,106,74,45,29,29,45,71,145,213,278,387,335,406,411,371,398,324,394,379,329,249,197,187,169
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/03/2013,Sunday,109,74,55,37,26,25,47,74,111,204,249,351,374,350,308,291,313,253,242,217,210,144,125,79
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/04/2013,Monday,36,28,11,16,32,108,168,418,493,263,282,307,304,328,426,425,419,469,425,358,224,185,132,74
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/05/2013,Tuesday,42,28,16,12,34,109,193,397,499,241,255,294,310,382,393,479,441,476,446,424,305,219,171,76
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/06/2013,Wednesday,35,38,12,14,31,98,195,372,490,297,260,283,334,324,383,384,391,369,401,338,236,186,123,76
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/07/2013,Thursday,33,26,14,22,31,100,171,382,460,273,215,263,254,303,151,409,422,364,356,339,275,225,169,104
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/08/2013,Friday,35,28,18,14,34,89,202,306,440,290,236,282,343,353,430,518,461,485,531,393,351,276,242,154
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/09/2013,Saturday,110,73,46,32,29,44,73,150,217,283,395,342,414,419,379,406,330,402,387,336,254,201,191,174
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/10/2013,Sunday,114,77,58,40,28,27,48,77,127,208,238,359,382,356,315,297,320,257,246,221,214,147,121,85
False,1,"(40.5432265, -74.19728429999999)","(40.5425378, -74.19700920000001)",NB,80 m,02/11/2013,Monday,38,30,15,19,34,112,172,427,502,268,287,313,310,321,434,433,438,478,433,365,228,189,136,75
